,symbol,name,sector
225,HSY,The Hershey Company,Consumer Staples
226,HES,Hess Corporation,Energy
227,HPE,Hewlett Packard Enterprise,Information Technology
228,HLT,Hilton Worldwide,Consumer Discretionary
229,HOLX,Hologic,Health Care
230,HD,Home Depot,Consumer Discretionary
231,HON,Honeywell,Industrials
232,HRL,Hormel,Consumer Staples
233,HST,Host Hotels & Resorts,Real Estate
234,HWM,Howmet Aerospace,Industrials
235,HPQ,HP,Information Technology
236,HUM,Humana,Health Care
237,HBAN,Huntington Bancshares,Financials
238,HII,Huntington Ingalls Industries,Industrials
239,IEX,IDEX Corporation,Industrials
240,IDXX,Idexx Laboratories,Health Care
241,INFO,IHS Markit,Industrials
242,ITW,Illinois Tool Works,Industrials
243,ILMN,Illumina,Health Care
244,INCY,Incyte,Health Care
245,IR,Ingersoll Rand,Industrials
246,INTC,Intel,Information Technology
247,ICE,Intercontinental Exchange,Financials
248,IBM,IBM,Information Technology
249,IP,International Paper,Materials
250,IPG,Interpublic Group,Communication Services
251,IFF,International Flavors & Fragrances,Materials
252,INTU,Intuit,Information Technology
253,ISRG,Intuitive Surgical,Health Care
254,IVZ,Invesco,Financials
255,IPGP,IPG Photonics,Information Technology
256,IQV,IQVIA,Health Care
257,IRM,Iron Mountain,Real Estate
258,JKHY,Jack Henry & Associates,Information Technology
259,J,Jacobs Engineering Group,Industrials
260,JBHT,J. B. Hunt,Industrials
261,SJM,JM Smucker,Consumer Staples
262,JNJ,Johnson & Johnson,Health Care
263,JCI,Johnson Controls,Industrials
264,JPM,JPMorgan Chase,Financials
265,JNPR,Juniper Networks,Information Technology
266,KSU,Kansas City Southern,Industrials
267,K,Kellogg's,Consumer Staples
268,KEY,KeyCorp,Financials
269,KEYS,Keysight Technologies,Information Technology
270,KMB,Kimberly-Clark,Consumer Staples
271,KIM,Kimco Realty,Real Estate
272,KMI,Kinder Morgan,Energy
273,KLAC,KLA Corporation,Information Technology
274,KHC,Kraft Heinz,Consumer Staples
275,KR,Kroger,Consumer Staples
276,LB,L Brands,Consumer Discretionary
277,LHX,L3Harris Technologies,Industrials
278,LH,LabCorp,Health Care
279,LRCX,Lam Research,Information Technology
280,LW,Lamb Weston,Consumer Staples
281,LVS,Las Vegas Sands,Consumer Discretionary
282,LEG,Leggett & Platt,Consumer Discretionary
283,LDOS,Leidos,Industrials
284,LEN,Lennar,Consumer Discretionary
285,LLY,Eli Lilly & Co,Health Care
286,LNC,Lincoln National,Financials
287,LIN,Linde,Materials
288,LYV,Live Nation Entertainment,Communication Services
289,LKQ,LKQ Corporation,Consumer Discretionary
290,LMT,Lockheed Martin,Industrials
291,L,Loews Corporation,Financials
292,LOW,Lowe's,Consumer Discretionary
293,LUMN,Lumen Technologies,Communication Services
294,LYB,LyondellBasell,Materials
295,MTB,M&T Bank,Financials
296,MRO,Marathon Oil,Energy
297,MPC,Marathon Petroleum,Energy
298,MKTX,MarketAxess,Financials
299,MAR,Marriott International,Consumer Discretionary
300,MMC,Marsh & McLennan,Financials
301,MLM,Martin Marietta Materials,Materials
302,MAS,Masco,Industrials
303,MA,Mastercard,Information Technology
304,MKC,McCormick & Company,Consumer Staples
305,MXIM,Maxim Integrated,Information Technology
306,MCD,McDonald's,Consumer Discretionary
307,MCK,McKesson Corporation,Health Care
308,MDT,Medtronic,Health Care
309,MRK,Merck & Co.,Health Care
310,MET,MetLife,Financials
311,MTD,Mettler Toledo,Health Care
312,MGM,MGM Resorts International,Consumer Discretionary
313,MCHP,Microchip Technology,Information Technology
314,MU,Micron Technology,Information Technology
315,MSFT,Microsoft,Information Technology
316,MAA,Mid-America Apartments,Real Estate
317,MRNA,Moderna,Health Care
318,MHK,Mohawk Industries,Consumer Discretionary
319,TAP,Molson Coors Beverage Company,Consumer Staples
320,MDLZ,Mondelez International,Consumer Staples
321,MPWR,Monolithic Power Systems,Information Technology
322,MNST,Monster Beverage,Consumer Staples
323,MCO,Moody's Corporation,Financials
324,MS,Morgan Stanley,Financials
325,MOS,The Mosaic Company,Materials
326,MSI,Motorola Solutions,Information Technology
327,MSCI,MSCI,Financials
328,NDAQ,Nasdaq,Financials
329,NTAP,NetApp,Information Technology
330,NFLX,Netflix,Communication Services
331,NWL,Newell Brands,Consumer Discretionary
332,NEM,Newmont,Materials
333,NWSA,News Corp (Class A),Communication Services
334,NWS,News Corp (Class B),Communication Services
335,NEE,NextEra Energy,Utilities
336,NLSN,Nielsen Holdings,Industrials
337,NKE,Nike,Consumer Discretionary
338,NI,NiSource,Utilities
339,NSC,Norfolk Southern,Industrials
340,NTRS,Northern Trust,Financials
341,NOC,Northrop Grumman,Industrials
342,NLOK,NortonLifeLock,Information Technology
343,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
344,NOV,Nov,Energy
345,NRG,NRG Energy,Utilities
346,NUE,Nucor,Materials
347,NVDA,Nvidia,Information Technology
348,NVR,NVR,Consumer Discretionary
349,NXPI,NXP,Information Technology
350,ORLY,O'Reilly Automotive,Consumer Discretionary
351,OXY,Occidental Petroleum,Energy
352,ODFL,Old Dominion Freight Line,Industrials
353,OMC,Omnicom Group,Communication Services
354,OKE,Oneok,Energy
355,ORCL,Oracle,Information Technology
356,OGN,Organon & Co.,Health Care
357,OTIS,Otis Worldwide,Industrials
358,PCAR,Paccar,Industrials
359,PKG,Packaging Corporation of America,Materials
360,PH,Parker-Hannifin,Industrials
361,PAYX,Paychex,Information Technology
362,PAYC,Paycom,Information Technology
363,PYPL,PayPal,Information Technology
364,PENN,Penn National Gaming,Consumer Discretionary
365,PNR,Pentair,Industrials
366,PBCT,People's United Financial,Financials
367,PEP,PepsiCo,Consumer Staples
368,PKI,PerkinElmer,Health Care
369,PRGO,Perrigo,Health Care
370,PFE,Pfizer,Health Care
371,PM,Philip Morris International,Consumer Staples
372,PSX,Phillips 66,Energy
373,PNW,Pinnacle West Capital,Utilities
374,PXD,Pioneer Natural Resources,Energy
375,PNC,PNC Financial Services,Financials
376,POOL,Pool Corporation,Consumer Discretionary
377,PPG,PPG Industries,Materials
378,PPL,PPL,Utilities
379,PFG,Principal Financial Group,Financials
380,PG,Procter & Gamble,Consumer Staples
381,PGR,Progressive Corporation,Financials
382,PLD,Prologis,Real Estate
383,PRU,Prudential Financial,Financials
384,PTC,PTC,Information Technology
385,PEG,Public Service Enterprise Group,Utilities
386,PSA,Public Storage,Real Estate
387,PHM,PulteGroup,Consumer Discretionary
388,PVH,PVH,Consumer Discretionary
389,QRVO,Qorvo,Information Technology
390,PWR,Quanta Services,Industrials
391,QCOM,Qualcomm,Information Technology
392,DGX,Quest Diagnostics,Health Care
393,RL,Ralph Lauren Corporation,Consumer Discretionary
394,RJF,Raymond James Financial,Financials
395,RTX,Raytheon Technologies,Industrials
396,O,Realty Income Corporation,Real Estate
397,REG,Regency Centers,Real Estate
398,REGN,Regeneron Pharmaceuticals,Health Care
399,RF,Regions Financial Corporation,Financials
400,RSG,Republic Services,Industrials
401,RMD,ResMed,Health Care
402,RHI,Robert Half International,Industrials
403,ROK,Rockwell Automation,Industrials
404,ROL,Rollins,Industrials
405,ROP,Roper Technologies,Industrials
406,ROST,Ross Stores,Consumer Discretionary
407,RCL,Royal Caribbean Group,Consumer Discretionary
408,SPGI,S&P Global,Financials
409,CRM,Salesforce,Information Technology
410,SBAC,SBA Communications,Real Estate
411,SLB,Schlumberger,Energy
412,STX,Seagate Technology,Information Technology
413,SEE,Sealed Air,Materials
414,SRE,Sempra Energy,Utilities
415,NOW,ServiceNow,Information Technology
416,SHW,Sherwin-Williams,Materials
417,SPG,Simon Property Group,Real Estate
418,SWKS,Skyworks Solutions,Information Technology
419,SNA,Snap-on,Industrials
420,SO,Southern Company,Utilities
421,LUV,Southwest Airlines,Industrials
422,SWK,Stanley Black & Decker,Industrials
423,SBUX,Starbucks,Consumer Discretionary
424,STT,State Street Corporation,Financials
425,STE,Steris,Health Care
426,SYK,Stryker Corporation,Health Care
427,SIVB,SVB Financial,Financials
428,SYF,Synchrony Financial,Financials
429,SNPS,Synopsys,Information Technology
430,SYY,Sysco,Consumer Staples
431,TMUS,T-Mobile US,Communication Services
432,TROW,T. Rowe Price,Financials
433,TTWO,Take-Two Interactive,Communication Services
434,TPR,Tapestry,Consumer Discretionary
435,TGT,Target Corporation,Consumer Discretionary
436,TEL,TE Connectivity,Information Technology
437,TDY,Teledyne Technologies,Industrials
438,TFX,Teleflex,Health Care
439,TER,Teradyne,Information Technology
440,TSLA,Tesla,Consumer Discretionary
441,TXN,Texas Instruments,Information Technology
442,TXT,Textron,Industrials
443,TMO,Thermo Fisher Scientific,Health Care
444,TJX,TJX Companies,Consumer Discretionary
445,TSCO,Tractor Supply Company,Consumer Discretionary
446,TT,Trane Technologies,Industrials
447,TDG,TransDigm Group,Industrials
448,TRV,The Travelers Companies,Financials
449,TRMB,Trimble,Information Technology
450,TFC,Truist Financial,Financials
451,TWTR,Twitter,Communication Services
452,TYL,Tyler Technologies,Information Technology
453,TSN,Tyson Foods,Consumer Staples
454,UDR,UDR,Real Estate
455,ULTA,Ulta Beauty,Consumer Discretionary
456,USB,U.S. Bancorp,Financials
457,UAA,Under Armour (Class A),Consumer Discretionary
458,UA,Under Armour (Class C),Consumer Discretionary
459,UNP,Union Pacific,Industrials
460,UAL,United Airlines,Industrials
461,UNH,UnitedHealth Group,Health Care
462,UPS,United Parcel Service,Industrials
463,URI,United Rentals,Industrials
464,UHS,Universal Health Services,Health Care
465,UNM,Unum Group,Financials
466,VLO,Valero Energy,Energy
467,VTR,Ventas,Real Estate
468,VRSN,Verisign,Information Technology
469,VRSK,Verisk Analytics,Industrials
470,VZ,Verizon Communications,Communication Services
471,VRTX,Vertex Pharmaceuticals,Health Care
472,VFC,VF Corporation,Consumer Discretionary
473,VIAC,ViacomCBS,Communication Services
474,VTRS,Viatris,Health Care
475,V,Visa,Information Technology
476,VNO,Vornado Realty Trust,Real Estate
477,VMC,Vulcan Materials,Materials
478,WRB,W. R. Berkley Corporation,Financials
479,WAB,Wabtec,Industrials
480,WMT,Walmart,Consumer Staples
481,WBA,Walgreens Boots Alliance,Consumer Staples
482,DIS,The Walt Disney Company,Communication Services
483,WM,Waste Management,Industrials
484,WAT,Waters Corporation,Health Care
485,WEC,WEC Energy Group,Utilities
486,WFC,Wells Fargo,Financials
487,WELL,Welltower,Real Estate
488,WST,West Pharmaceutical Services,Health Care
489,WDC,Western Digital,Information Technology
490,WU,Western Union,Information Technology
491,WRK,WestRock,Materials
492,WY,Weyerhaeuser,Real Estate
493,WHR,Whirlpool Corporation,Consumer Discretionary
494,WMB,Williams Companies,Energy
495,WLTW,Willis Towers Watson,Financials
496,WYNN,Wynn Resorts,Consumer Discretionary
497,XEL,Xcel Energy,Utilities
498,XLNX,Xilinx,Information Technology
499,XYL,Xylem,Industrials
500,YUM,Yum! Brands,Consumer Discretionary
501,ZBRA,Zebra Technologies,Information Technology
502,ZBH,Zimmer Biomet,Health Care
503,ZION,Zions Bancorp,Financials
504,ZTS,Zoetis,Health Care
